#options: 360x240 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:-1:-1 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.15 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc=cqp mbtree=0 qp=23 ip_ratio=1.40 pb_ratio=1.30 aq=0
in:150 out:151 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:152 out:152 type:P dur:2 cpbdur:2 q:23.00 tex:185 mv:20 misc:195 imb:0 pmb:7 smb:338 d:- ref:0 ;
in:156 out:153 type:P dur:2 cpbdur:2 q:23.00 tex:72 mv:15 misc:161 imb:0 pmb:4 smb:341 d:- ref:0 ;
in:154 out:154 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:153 out:155 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:155 out:156 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:160 out:157 type:P dur:2 cpbdur:2 q:23.00 tex:22 mv:4 misc:134 imb:0 pmb:1 smb:344 d:- ref:0 ;
in:158 out:158 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:157 out:159 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:159 out:160 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:164 out:161 type:P dur:2 cpbdur:2 q:23.00 tex:57 mv:7 misc:136 imb:0 pmb:2 smb:343 d:- ref:0 ;
in:162 out:162 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:161 out:163 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:163 out:164 type:b dur:2 cpbdur:2 q:25.00 tex:82 mv:14 misc:136 imb:0 pmb:4 smb:341 d:- ref:0 ;
in:168 out:165 type:P dur:2 cpbdur:2 q:23.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:166 out:166 type:B dur:2 cpbdur:2 q:24.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:165 out:167 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:167 out:168 type:b dur:2 cpbdur:2 q:25.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:345 d:- ref:0 ;
in:172 out:169 type:P dur:2 cpbdur:2 q:23.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:345 d:- ref:0 ;
